        0.0000000000        0.0000000000        0.0000000000       28.0855007172
        0.0000000000        1.9325800162        1.3665404346       28.0855007172
        1.9325800162        1.9325800162        2.7330808693       28.0855007172
        1.9325800162        0.0000000000        4.0996213039       28.0855007172
        0.0000000000        0.0000000000        5.4661617370       28.0855007172
        0.0000000000        1.9325800162        6.8327021717       28.0855007172
        1.9325800162        1.9325800162        8.1992426063       28.0855007172
        1.9325800162        0.0000000000        9.5657830410       28.0855007172
        0.0000000000        0.0000000000       10.9323234741       74.9215927124
        0.0000000000        1.9325800162       12.2988639087       74.9215927124
        1.9325800162        1.9325800162       13.6654043433       74.9215927124
        1.9325800162        0.0000000000       15.0319447780       74.9215927124
        0.0000000000        0.0000000000       16.3984852111       74.9215927124
        0.0000000000        1.9325800162       17.7650256457       74.9215927124
        1.9325800162        1.9325800162       19.1315660804       74.9215927124
        1.9325800162        0.0000000000       20.4981065150       74.9215927124
        0.0000000000        3.8651600323        0.0000000000       28.0855007172
        0.0000000000        5.7977400485        1.3665404346       28.0855007172
        1.9325800162        5.7977400485        2.7330808693       28.0855007172
        1.9325800162        3.8651600323        4.0996213039       28.0855007172
        0.0000000000        3.8651600323        5.4661617370       28.0855007172
        0.0000000000        5.7977400485        6.8327021717       28.0855007172
        1.9325800162        5.7977400485        8.1992426063       28.0855007172
        1.9325800162        3.8651600323        9.5657830410       28.0855007172
        0.0000000000        3.8651600323       10.9323234741       74.9215927124
        0.0000000000        5.7977400485       12.2988639087       74.9215927124
        1.9325800162        5.7977400485       13.6654043433       74.9215927124
        1.9325800162        3.8651600323       15.0319447780       74.9215927124
        0.0000000000        3.8651600323       16.3984852111       74.9215927124
        0.0000000000        5.7977400485       17.7650256457       74.9215927124
        1.9325800162        5.7977400485       19.1315660804       74.9215927124
        1.9325800162        3.8651600323       20.4981065150       74.9215927124
        3.8651600323        0.0000000000        0.0000000000       28.0855007172
        3.8651600323        1.9325800162        1.3665404346       28.0855007172
        5.7977400485        1.9325800162        2.7330808693       28.0855007172
        5.7977400485        0.0000000000        4.0996213039       28.0855007172
        3.8651600323        0.0000000000        5.4661617370       28.0855007172
        3.8651600323        1.9325800162        6.8327021717       28.0855007172
        5.7977400485        1.9325800162        8.1992426063       28.0855007172
        5.7977400485        0.0000000000        9.5657830410       28.0855007172
        3.8651600323        0.0000000000       10.9323234741       74.9215927124
        3.8651600323        1.9325800162       12.2988639087       74.9215927124
        5.7977400485        1.9325800162       13.6654043433       74.9215927124
        5.7977400485        0.0000000000       15.0319447780       74.9215927124
        3.8651600323        0.0000000000       16.3984852111       74.9215927124
        3.8651600323        1.9325800162       17.7650256457       74.9215927124
        5.7977400485        1.9325800162       19.1315660804       74.9215927124
        5.7977400485        0.0000000000       20.4981065150       74.9215927124
        3.8651600323        3.8651600323        0.0000000000       28.0855007172
        3.8651600323        5.7977400485        1.3665404346       28.0855007172
        5.7977400485        5.7977400485        2.7330808693       28.0855007172
        5.7977400485        3.8651600323        4.0996213039       28.0855007172
        3.8651600323        3.8651600323        5.4661617370       28.0855007172
        3.8651600323        5.7977400485        6.8327021717       28.0855007172
        5.7977400485        5.7977400485        8.1992426063       28.0855007172
        5.7977400485        3.8651600323        9.5657830410       28.0855007172
        3.8651600323        3.8651600323       10.9323234741       74.9215927124
        3.8651600323        5.7977400485       12.2988639087       74.9215927124
        5.7977400485        5.7977400485       13.6654043433       74.9215927124
        5.7977400485        3.8651600323       15.0319447780       74.9215927124
        3.8651600323        3.8651600323       16.3984852111       74.9215927124
        3.8651600323        5.7977400485       17.7650256457       74.9215927124
        5.7977400485        5.7977400485       19.1315660804       74.9215927124
        5.7977400485        3.8651600323       20.4981065150       74.9215927124
